payment_id,account_id,payment_date,amount,payment_method,payment_status
PMT000034,DC100021,2026-06-19,10.54,Standing Order,Cleared
PMT000035,DC100023,2026-08-03,430.61,Direct Debit,Failed
PMT000036,DC100024,12/02/2026,42.36,Card,Cleared
PMT000037,DC100024,2025-01-18,166.84,Card,Cleared
PMT000038,DC100024,2026-03-10,290.92,Standing Order,Cleared
PMT000039,DC100025,2025-04-15,447.07,Direct Debit,Cleared
PMT000040,DC100025,2025-02-05,63.65,Cash,Cleared
PMT000041,DC100026,2025-07-23,44.22,DEBIT CARD,Pending
PMT000042,DC100026,2025-07-23,459.31,Cash,Cleared
PMT000043,DC100027,2025-07-16,248.58,debit card,Cleared
PMT000044,DC100027,2025-03-12,36.87,Cheque,Cleared
PMT000045,DC100027,19-07-2025,486.81,Cash,Cleared
PMT000046,DC100029,2026-05-11,444.12,Bank Transfer,Cleared
PMT000047,DC100029,2026-01-24,32.63,Cheque,Cleared
PMT000048,DC100032,2026-06-12,45.55,Cheque,Pending
PMT000049,DC100033,2026-02-27,205.2,DEBIT CARD,Cleared
PMT000050,DC100034,2025-11-05,7.34,Card,Cleared
PMT000051,DC100035,11/05/2024,39.84,Debit Card,Cleared
PMT000052,DC100035,2024-02-19,227.62,DEBIT CARD,Failed
PMT000053,DC100035,2025-09-21,113.28,Direct Debit,Failed
PMT000054,DC100035,05/05/2024,44.75,Debit Card,Cleared
PMT000055,DC100036,2026-07-25,10.69,Direct Debit,Cleared
PMT000056,DC100037,18/03/2024,279.28,DEBIT CARD,Cleared
PMT000057,DC100037,20-03-2025,201.01,Cheque,Cleared
PMT000058,DC100039,2026-05-30,134.51,Cash,Cleared
PMT000059,DC100039,2026-05-28,42.12,Standing Order,Cleared
PMT000060,DC100041,2026-02-21,29.34,Cheque,Cleared
PMT000061,DC100042,04/09/2026,452.13,Standing Order,Cleared
PMT000062,DC100043,2024-06-10,340.58,Cheque,Cleared
PMT000063,DC100043,2024-04-09,55.41,Card,Cleared
PMT000064,DC100043,08-07-2025,252.86,Debit Card,Cleared
PMT000065,DC100044,2025-09-16,9.62,DEBIT CARD,Cleared
PMT000066,DC100044,2025-04-25,240.93,Standing Order,Cleared
PMT000067,DC100044,2024-12-12,24.73,Direct Debit,Cleared
PMT000068,DC100044,2024-10-07,43.92,Cash,Cleared
PMT000069,DC100044,2025-07-08,20.65,Card,Cleared
PMT000070,DC100046,29-03-2025,121.65,Bank Transfer,Cleared
PMT000071,DC100046,02-10-2024,79.94,Card,Cleared
PMT000072,DC100047,2025-02-17,5.19,Debit Card,Cleared
PMT000073,DC100047,2025-11-04,389.28,Card,Cleared
PMT000074,DC100048,04/14/2026,106.6,Cheque,Cleared
PMT000075,DC100049,01/09/2025,303.94,Bank Transfer,Cleared
PMT000076,DC100049,2026-04-11,30.0,DEBIT CARD,Cleared
PMT000077,DC100049,21/12/2025,391.98,Bank Transfer,Cleared
PMT000078,DC100050,2026-05-01,77.67,Standing Order,Cleared
PMT000079,DC100050,09/21/2026,353.81,Direct Debit,Cleared
PMT000080,DC100051,2025-12-21,425.4,Standing Order,Cleared
PMT000081,DC100053,01/02/2025,254.87,Debit Card,Cleared
PMT000082,DC100053,2024-08-17,13.76,Debit Card,Cleared
PMT000083,DC100054,2024-12-24,493.89,Cash,Cleared
PMT000084,DC100054,13/09/2024,10.72,Cheque,Cleared
PMT000085,DC100054,2024-04-01,21.28,debit card,Failed
PMT000086,DC100054,28/07/2025,40.49,Cash,Failed
PMT000087,DC100056,2024-06-06,23.86,Bank Transfer,Cleared
PMT000088,DC100058,07/07/2025,141.49,Cheque,Cleared
PMT000089,DC100058,16/03/2024,98.51,DEBIT CARD,Cleared
PMT000090,DC100059,2025-04-01,493.23,Cheque,Cleared
PMT000091,DC100059,2024-05-31,497.71,Bank Transfer,Cleared
PMT000092,DC100059,2025-04-14,226.78,Cheque,Cleared
PMT000093,DC100059,25/03/2025,35.14,Debit Card,Cleared
PMT000094,DC100059,2023-11-22,29.57,Cheque,Cleared
PMT000095,DC100059,2024-01-28,301.77,Cheque,Cleared
PMT000096,DC100059,2024-12-15,47.95,Direct Debit,Cleared
PMT000097,DC100059,2025-09-02,45.93,Debit Card,Cleared
PMT000098,DC100060,2025-03-13,41.93,Card,Cleared
PMT000099,DC100060,08/04/2024,43.41,Bank Transfer,Cleared
PMT000100,DC100061,2026-07-09,20.08,Debit Card,Pending
PMT000101,DC100062,2026-03-17,15.91,Card,Cleared
PMT000102,DC100064,03/31/2026,492.86,DEBIT CARD,Cleared
PMT000103,DC100064,25-01-2026,44.23,Standing Order,Cleared
PMT000104,DC100065,2025-09-16,35.35,debit card,Cleared
PMT000105,DC100065,2026-07-11,18.06,Cheque,Cleared
PMT000106,DC100066,2025-06-23,34.14,debit card,Cleared
PMT000107,DC100066,10/02/2024,27.91,Card,Cleared
PMT000108,DC100066,20/02/2025,286.68,Debit Card,Cleared
PMT000109,DC100066,2026-04-10,12.27,Bank Transfer,Cleared
PMT000110,DC100066,2025-12-03,5.5,DEBIT CARD,Cleared
PMT000111,DC100066,2025-05-22,12.61,DEBIT CARD,Cleared
PMT000112,DC100066,2026-01-24,111.01,DEBIT CARD,Cleared
PMT000113,DC100066,03-03-2026,42.62,Card,Cleared
PMT000114,DC100067,2024-08-13,465.92,Standing Order,Pending
PMT000115,DC100067,2025-08-19,19.83,Standing Order,Pending
PMT000116,DC100067,2025-07-14,44.03,Card,Cleared
PMT000117,DC100068,2026-03-16,7.52,Debit Card,Cleared
PMT000118,DC100068,08/08/2026,251.24,Cash,Cleared
PMT000119,DC100068,21-02-2026,39.83,Standing Order,Cleared
PMT000120,DC100068,2026-02-17,7.87,DEBIT CARD,Pending
PMT000121,DC100069,2025-09-23,32.03,Bank Transfer,Cleared
PMT000122,DC100069,04/04/2024,33.53,Debit Card,Failed
PMT000123,DC100070,2025-07-07,47.32,debit card,Cleared
PMT000124,DC100071,2025-06-06,380.65,Debit Card,Cleared
PMT000125,DC100072,22-10-2025,475.72,debit card,Cleared
PMT000126,DC100072,2026-02-05,29.42,Cash,Cleared
PMT000127,DC100073,2026-04-29,344.89,Cash,Cleared
PMT000128,DC100074,03-08-2025,13.92,Cash,Cleared
PMT000129,DC100074,2025-05-03,147.13,Cheque,Cleared
PMT000130,DC100074,10-01-2026,262.74,Debit Card,Cleared
PMT000131,DC100074,12-08-2024,39.79,Cheque,Cleared
PMT000132,DC100074,04/11/2025,36.07,Cash,Failed
PMT000133,DC100075,2026-02-03,21.25,Card,Cleared
PMT000134,DC100077,2025-12-01,12.75,Debit Card,Cleared
PMT000135,DC100077,03-07-2026,430.04,Cheque,Cleared
PMT000136,DC100078,2024-05-14,15.88,debit card,Cleared
PMT000137,DC100078,2025-05-07,6.73,Cheque,Cleared
PMT000138,DC100078,2025-12-06,9.24,Standing Order,Cleared
PMT000139,DC100078,29/03/2026,420.96,Cash,Cleared
PMT000140,DC100078,20-08-2024,157.55,Debit Card,Cleared
PMT000141,DC100078,15/11/2024,44.82,Card,Cleared
PMT000142,DC100079,2025-06-28,73.0,DEBIT CARD,Cleared
PMT000143,DC100079,2025-07-04,20.69,Cheque,Cleared
PMT000144,DC100079,2026-03-21,42.07,Cash,Cleared
PMT000145,DC100079,18-05-2025,20.48,DEBIT CARD,Cleared
PMT000146,DC100080,2026-05-12,43.03,Direct Debit,Pending
PMT000147,DC100080,25/03/2025,350.51,Cash,Cleared
PMT000148,DC100081,2025-11-15,95.68,Debit Card,Cleared
PMT000149,DC100081,2026-07-08,24.89,debit card,Cleared
PMT000150,DC100081,2025-05-10,429.84,Standing Order,Cleared
PMT000151,DC100082,08/02/2025,37.45,Bank Transfer,Cleared
PMT000152,DC100083,05/05/2025,47.64,Cheque,Cleared
PMT000153,DC100084,2025-02-10,18.89,Cheque,Cleared
PMT000154,DC100084,07/09/2025,23.03,Card,Cleared
PMT000155,DC100086,2025-08-18,24.87,Standing Order,Cleared
PMT000156,DC100087,20-04-2026,13.73,Cheque,Cleared
PMT000157,DC100088,08/04/2026,44.9,DEBIT CARD,Cleared
PMT000158,DC100088,2026-01-28,23.36,DEBIT CARD,Cleared
PMT000159,DC100088,2026-03-18,45.94,Card,Cleared
PMT000160,DC100088,2026-04-07,379.02,Direct Debit,Cleared
PMT000161,DC100089,2026-01-08,83.98,DEBIT CARD,Cleared
PMT000162,DC100089,24/03/2025,211.54,DEBIT CARD,Failed
PMT000163,DC100091,2026-03-14,138.42,Cheque,Pending
PMT000164,DC100091,28/12/2025,10.89,Card,Cleared
PMT000165,DC100092,2026-04-12,192.29,DEBIT CARD,Cleared
PMT000166,DC100092,04/04/2026,17.25,Cheque,Cleared
PMT000167,DC100093,2026-01-08,15.8,Debit Card,Failed
PMT000168,DC100094,2025-07-28,71.81,Standing Order,Cleared
PMT000169,DC100094,2025-11-06,18.97,Direct Debit,Cleared
PMT000170,DC100094,24/12/2024,12.82,Standing Order,Cleared
PMT000171,DC100095,07/03/2026,15.0,Card,Cleared
PMT000172,DC100095,2026-05-16,49.57,DEBIT CARD,Cleared
PMT000173,DC100096,26/03/2026,7.08,Standing Order,Cleared
PMT000174,DC100097,08/11/2023,245.17,Card,Cleared
PMT000175,DC100097,2025-09-16,28.99,Bank Transfer,Cleared
PMT000176,DC100097,2024-02-19,44.7,Cheque,Cleared
PMT000177,DC100097,05/11/2024,262.67,Cash,Cleared
PMT000178,DC100097,05/02/2025,85.21,DEBIT CARD,Cleared
PMT000179,DC100097,2025-09-20,27.55,debit card,Cleared
PMT000180,DC100098,2024-12-15,46.56,Debit Card,Cleared
PMT000181,DC100098,2024-06-08,433.43,Cheque,Cleared
PMT000182,DC100098,2024-06-30,467.43,debit card,Cleared
PMT000183,DC100099,12/09/2026,27.24,Debit Card,Cleared
PMT000184,DC100099,2026-06-23,35.79,Cash,Cleared
PMT000185,DC100100,2025-04-27,465.39,DEBIT CARD,Failed
PMT000186,DC100100,06-01-2025,489.63,Card,Cleared
PMT000187,DC100100,2025-09-07,30.14,Debit Card,Cleared
PMT000188,DC100100,2025-12-08,15.25,Cash,Pending
PMT000189,DC100100,2025-10-21,339.73,Debit Card,Cleared
PMT000190,DC100100,2024-04-05,45.85,Standing Order,Cleared
PMT000191,DC100100,2024-07-30,17.63,Debit Card,Cleared
PMT000192,DC100100,2025-04-06,431.59,Cash,Cleared
PMT000193,DC100102,16-11-2024,31.17,Cash,Cleared
PMT000194,DC100102,2024-06-05,295.83,Cash,Cleared
PMT000195,DC100105,2024-09-09,271.63,debit card,Cleared
PMT000196,DC100105,2024-12-05,257.45,Cash,Cleared
PMT000197,DC100105,2025-10-29,318.51,Direct Debit,Cleared
PMT000198,DC100105,10-04-2026,42.76,debit card,Cleared
PMT000199,DC100105,12/25/2024,39.36,DEBIT CARD,Failed
PMT000200,DC100105,22/08/2025,13.48,Standing Order,Cleared
PMT000201,DC100106,2024-12-19,158.93,Card,Cleared
PMT000202,DC100106,2024-10-03,18.97,Direct Debit,Cleared
PMT000203,DC100107,05/11/2025,276.58,debit card,Cleared
PMT000204,DC100108,2026-08-16,105.65,Cheque,Cleared
PMT000205,DC100112,27-10-2025,42.51,Cash,Cleared
PMT000206,DC100112,05/04/2026,42.44,Standing Order,Cleared
PMT000207,DC100112,2025-09-24,10.47,Cheque,Cleared
PMT000208,DC100113,30/06/2026,92.22,Direct Debit,Cleared
PMT000209,DC100114,11/07/2025,329.79,Cheque,Cleared
PMT000210,DC100114,16/12/2024,33.33,Card,Cleared
PMT000211,DC100116,10/07/2026,23.83,Direct Debit,Cleared
PMT000212,DC100117,08/30/2025,111.24,Direct Debit,Cleared
PMT000213,DC100117,01/02/2026,18.75,Cheque,Cleared
PMT000214,DC100118,2025-05-26,41.48,Bank Transfer,Cleared
PMT000215,DC100118,2024-10-17,294.93,Cheque,Pending
PMT000216,DC100118,2025-07-07,11.99,Bank Transfer,Cleared
PMT000217,DC100118,14-10-2025,320.42,debit card,Cleared
PMT000218,DC100119,2026-04-10,79.31,debit card,Cleared
PMT000219,DC100119,2025-08-17,9.64,Card,Cleared
PMT000220,DC100119,12/08/2024,19.4,Cheque,Cleared
PMT000221,DC100120,2026-02-15,45.92,Standing Order,Failed
PMT000222,DC100120,2025-10-10,19.38,Debit Card,Cleared
PMT000223,DC100120,2025-10-08,348.78,Bank Transfer,Cleared
PMT000224,DC100121,2024-02-14,30.59,Card,Cleared
PMT000225,DC100121,08/08/2025,402.55,Bank Transfer,Cleared
PMT000226,DC100123,2026-07-01,134.52,Direct Debit,Cleared
PMT000227,DC100124,29-06-2025,16.58,Card,Cleared
PMT000228,DC100126,19-01-2026,41.54,Card,Pending
PMT000229,DC100126,04/08/2026,59.37,Direct Debit,Cleared
PMT000230,DC100129,2026-03-11,242.11,Cheque,Cleared
PMT000231,DC100130,2026-02-17,19.77,Card,Cleared
PMT000232,DC100130,08/24/2026,111.37,Direct Debit,Cleared
PMT000233,DC100130,2026-09-16,350.13,debit card,Cleared
PMT000234,DC100130,11-04-2026,365.36,Debit Card,Cleared
PMT000235,DC100130,02/20/2025,167.39,Standing Order,Cleared
PMT000236,DC100131,2026-04-29,266.2,debit card,Cleared
PMT000237,DC100133,13/10/2025,222.96,Cheque,Cleared
PMT000238,DC100133,2026-07-10,486.35,debit card,Cleared
PMT000239,DC100134,15/05/2026,459.2,debit card,Cleared
PMT000240,DC100134,26/03/2026,26.8,Cheque,Cleared
PMT000241,DC100134,22/01/2026,45.48,Cheque,Cleared
PMT000242,DC100134,07/04/2026,442.08,debit card,Cleared
PMT000243,DC100135,2026-08-22,33.31,Card,Cleared
PMT000244,DC100136,31/12/2025,138.14,Direct Debit,Failed
PMT000245,DC100140,04/06/2024,48.51,Debit Card,Cleared
PMT000246,DC100140,2025-03-22,440.7,DEBIT CARD,Cleared
PMT000247,DC100140,2024-10-17,22.43,Direct Debit,Cleared
PMT000248,DC100141,2026-03-12,231.33,Direct Debit,Cleared
PMT000249,DC100144,01/12/2024,26.46,DEBIT CARD,Cleared
PMT000250,DC100144,2025-07-07,210.8,debit card,Cleared
PMT000251,DC100144,10-05-2025,250.02,Debit Card,Cleared
PMT000252,DC100145,18/03/2025,169.23,Cash,Cleared
PMT000253,DC100145,2024-08-22,42.77,Cash,Cleared
PMT000254,DC100145,2024-07-20,44.52,DEBIT CARD,Cleared
PMT000255,DC100145,2023-11-29,117.63,debit card,Cleared
PMT000256,DC100145,28/10/2024,89.72,DEBIT CARD,Cleared
PMT000257,DC100146,13/04/2024,40.49,Cheque,Cleared
PMT000258,DC100146,2025-02-13,117.51,Cheque,Pending
PMT000259,DC100146,20-01-2025,34.46,Cash,Cleared
PMT000260,DC100148,2025-03-20,33.41,Debit Card,Pending
PMT000261,DC100148,2025-05-07,381.03,Cash,Cleared
PMT000262,DC100149,2025-11-30,381.02,Standing Order,Cleared
PMT000263,DC100149,2025-12-01,482.75,debit card,Cleared
PMT000264,DC100149,2025-10-07,91.85,Card,Cleared
PMT000265,DC100149,22/02/2026,352.05,Card,Cleared
PMT000266,DC100150,01/09/2024,204.39,Debit Card,Cleared
PMT000267,DC100152,2024-06-24,5.16,DEBIT CARD,Cleared
PMT000268,DC100153,2025-02-04,330.41,Bank Transfer,Cleared
PMT000269,DC100155,2026-03-09,64.5,Cheque,Cleared
PMT000270,DC100155,2024-12-12,379.95,Bank Transfer,Cleared
PMT000271,DC100155,20-01-2025,197.29,Cheque,Cleared
PMT000272,DC100155,07/31/2026,374.9,Direct Debit,Cleared
PMT000273,DC100155,10-08-2026,436.73,Cheque,Cleared
PMT000274,DC100158,2025-01-17,8.44,Bank Transfer,Cleared
PMT000275,DC100159,2026-02-17,477.89,Bank Transfer,Cleared
PMT000276,DC100160,2026-08-20,41.4,Bank Transfer,Cleared
PMT000277,DC100161,2025-04-05,39.11,Standing Order,Cleared
PMT000278,DC100162,2025-09-04,45.12,Direct Debit,Cleared
PMT000279,DC100162,2025-03-22,13.51,Cheque,Cleared
PMT000280,DC100164,2026-04-20,42.82,Bank Transfer,Failed
PMT000281,DC100165,2026-08-29,89.22,Standing Order,Cleared
PMT000282,DC100165,2026-05-19,478.52,Direct Debit,Failed
PMT000283,DC100165,10/09/2026,18.36,Standing Order,Cleared
PMT000284,DC100166,21/03/2026,348.64,Cash,Cleared
PMT000285,DC100166,01/03/2025,187.44,Standing Order,Cleared
PMT000286,DC100167,2025-03-23,326.24,Cash,Cleared
PMT000287,DC100167,24-07-2026,46.28,debit card,Cleared
PMT000288,DC100168,2026-04-15,36.05,Card,Cleared
PMT000289,DC100168,26/07/2025,23.2,Bank Transfer,Cleared
PMT000290,DC100168,2026-05-07,401.97,Bank Transfer,Failed
PMT000291,DC100168,2025-12-24,27.35,Debit Card,Failed
PMT000292,DC100168,2025-08-11,335.37,DEBIT CARD,Cleared
PMT000293,DC100168,11/05/2025,36.66,Debit Card,Cleared
PMT000294,DC100168,2025-12-20,30.15,Cheque,Pending
PMT000295,DC100171,27-05-2024,19.9,Bank Transfer,Cleared
PMT000296,DC100172,10/01/2026,17.96,Cheque,Failed
PMT000297,DC100172,2026-08-23,412.09,Debit Card,Cleared
PMT000298,DC100173,21-09-2026,483.32,Direct Debit,Failed
PMT000299,DC100174,2024-10-28,110.54,Card,Cleared
PMT000300,DC100176,24-01-2026,8.33,debit card,Cleared
PMT000301,DC100177,16-10-2024,49.65,Card,Cleared
PMT000302,DC100177,2026-03-13,17.47,Debit Card,Cleared
PMT000303,DC100179,02/08/2026,373.22,Cheque,Failed
PMT000304,DC100179,2025-05-10,16.68,Cash,Cleared
PMT000305,DC100179,2026-08-31,91.84,DEBIT CARD,Cleared
PMT000306,DC100180,2024-11-18,34.59,Card,Cleared
PMT000307,DC100180,2026-04-14,396.6,debit card,Cleared
PMT000308,DC100180,2025-07-23,39.84,Bank Transfer,Cleared
PMT000309,DC100182,2026-01-02,11.94,debit card,Cleared
PMT000310,DC100182,2026-03-25,424.31,debit card,Cleared
PMT000311,DC100182,06/07/2026,17.53,DEBIT CARD,Cleared
PMT000312,DC100183,2026-09-06,15.4,DEBIT CARD,Cleared
PMT000313,DC100184,2025-08-30,276.33,Cheque,Cleared
PMT000314,DC100185,2026-04-03,181.01,Bank Transfer,Cleared
PMT000315,DC100185,2026-05-28,328.47,Cheque,Cleared
PMT000316,DC100185,11/04/2026,400.39,Cheque,Cleared
PMT000317,DC100186,05/12/2024,46.11,Cash,Cleared
PMT000318,DC100186,2025-03-19,22.82,Standing Order,Cleared
PMT000319,DC100187,2025-07-09,115.06,Card,Cleared
PMT000320,DC100187,2026-09-20,12.53,Card,Cleared
PMT000321,DC100187,2025-04-08,41.2,Cheque,Failed
PMT000322,DC100188,2026-03-31,8.24,DEBIT CARD,Cleared
PMT000323,DC100191,2026-02-18,313.6,Debit Card,Cleared
PMT000324,DC100192,25/06/2025,33.48,Debit Card,Cleared
PMT000325,DC100192,2025-03-11,33.08,Card,Cleared
PMT000326,DC100192,2026-02-09,119.1,Debit Card,Cleared
PMT000327,DC100192,2025-05-09,48.64,Card,Cleared
PMT000328,DC100192,2025-04-22,44.36,Bank Transfer,Cleared
PMT000329,DC100192,2026-01-20,264.96,Cheque,Cleared
PMT000330,DC100193,2024-07-14,42.4,Standing Order,Cleared
PMT000331,DC100193,2025-07-06,307.66,Cheque,Cleared
PMT000332,DC100193,04/06/2025,95.14,Card,Cleared
PMT000333,DC100193,2025-12-03,201.35,Cheque,Cleared
PMT000334,DC100194,09/05/2026,212.74,Cheque,Cleared
PMT000335,DC100198,08-11-2025,376.67,Debit Card,Cleared
PMT000336,DC100198,03/15/2026,205.6,DEBIT CARD,Cleared
PMT000337,DC100198,2025-09-03,199.86,DEBIT CARD,Cleared
PMT000338,DC100198,2026-02-07,82.29,Card,Pending
PMT000339,DC100199,03/31/2026,20.15,Cash,Cleared
PMT000340,DC100199,16/09/2025,290.29,DEBIT CARD,Cleared
PMT000341,DC100200,2025-03-28,21.5,Cash,Cleared
PMT000342,DC100200,30/09/2024,93.97,debit card,Failed
PMT000343,DC100200,2025-03-22,39.8,Direct Debit,Cleared
PMT000344,DC100200,2025-07-27,337.14,Debit Card,Cleared
PMT000345,DC100200,2025-05-25,49.87,Cheque,Cleared
PMT000346,DC100201,01/22/2025,106.02,Cash,Cleared
PMT000347,DC100201,2024-12-23,177.53,Debit Card,Cleared
PMT000348,DC100201,2025-06-17,85.02,Debit Card,Cleared
PMT000349,DC100202,2025-06-04,405.76,Debit Card,Cleared
PMT000350,DC100202,31/10/2025,355.96,Bank Transfer,Cleared
PMT000351,DC100202,2025-01-05,396.79,DEBIT CARD,Pending
PMT000352,DC100204,2025-11-16,31.75,DEBIT CARD,Cleared
PMT000353,DC100204,21/08/2024,153.72,Standing Order,Cleared
PMT000354,DC100204,2024-12-06,260.64,Bank Transfer,Cleared
PMT000355,DC100204,11/08/2025,23.23,Cash,Cleared
PMT000356,DC100205,27-11-2023,47.78,Direct Debit,Cleared
PMT000357,DC100205,2023-10-05,34.89,Cash,Cleared
PMT000358,DC100206,13/12/2024,281.15,Bank Transfer,Cleared
PMT000359,DC100206,06-03-2025,41.44,Bank Transfer,Cleared
PMT000360,DC100206,22/01/2025,47.25,Bank Transfer,Cleared
PMT000361,DC100206,2024-08-06,33.2,debit card,Cleared
PMT000362,DC100207,12/07/2025,116.04,Cheque,Cleared
PMT000363,DC100207,04/09/2024,172.78,Direct Debit,Cleared
PMT000364,DC100207,27/09/2024,46.6,Card,Cleared
PMT000365,DC100209,2026-07-02,484.87,Bank Transfer,Failed
PMT000366,DC100210,2026-07-21,147.37,Card,Cleared
PMT000367,DC100211,2026-08-12,16.71,Debit Card,Cleared
PMT000368,DC100212,2024-01-15,10.01,debit card,Failed
PMT000369,DC100212,2025-02-12,227.7,DEBIT CARD,Cleared
PMT000370,DC100212,2024-12-12,34.76,Card,Cleared
PMT000371,DC100212,2025-06-17,267.43,Standing Order,Cleared
PMT000372,DC100212,2024-03-06,295.52,Card,Failed
PMT000373,DC100212,04/03/2025,22.55,Direct Debit,Cleared
PMT000374,DC100212,2024-08-07,408.13,debit card,Cleared
PMT000375,DC100212,21-11-2024,6.67,Debit Card,Cleared
PMT000376,DC100214,2026-06-11,18.43,DEBIT CARD,Cleared
PMT000377,DC100215,2026-06-04,295.17,DEBIT CARD,Cleared
PMT000378,DC100216,2026-02-22,336.93,Bank Transfer,Cleared
PMT000379,DC100216,2025-12-19,11.33,Card,Cleared
PMT000380,DC100216,2025-12-26,11.37,Direct Debit,Cleared
PMT000381,DC100218,2025-11-01,5.19,Cash,Cleared
PMT000382,DC100218,2026-04-25,147.95,Standing Order,Failed
PMT000383,DC100218,2025-10-31,18.69,Bank Transfer,Cleared
PMT000384,DC100219,2026-07-27,312.31,Debit Card,Cleared
PMT000385,DC100220,2025-08-25,271.82,Debit Card,Cleared
PMT000386,DC100220,12/07/2025,45.2,Cheque,Cleared
PMT000387,DC100220,2025-08-18,48.34,Card,Cleared
PMT000388,DC100221,24/07/2025,254.1,DEBIT CARD,Cleared
PMT000389,DC100221,06/04/2025,151.0,DEBIT CARD,Cleared
PMT000390,DC100223,06/08/2026,151.61,debit card,Cleared
PMT000391,DC100223,03-09-2026,49.75,Cheque,Cleared
PMT000392,DC100225,03/09/2026,495.87,Debit Card,Cleared
PMT000393,DC100225,2026-06-28,400.75,Cheque,Cleared
PMT000394,DC100228,2025-06-26,353.12,debit card,Cleared
PMT000395,DC100229,18-01-2026,309.48,Card,Cleared
PMT000396,DC100229,2026-02-25,323.98,debit card,Cleared
PMT000397,DC100230,2024-10-28,37.56,debit card,Failed
PMT000398,DC100230,2024-11-28,264.36,DEBIT CARD,Cleared
PMT000399,DC100230,2023-11-16,142.3,Bank Transfer,Cleared
PMT000400,DC100230,01/02/2025,8.14,DEBIT CARD,Cleared
PMT000401,DC100231,11-02-2026,12.76,debit card,Cleared
PMT000402,DC100231,2025-09-29,14.08,Debit Card,Cleared
PMT000403,DC100232,06/09/2025,22.06,debit card,Cleared
PMT000404,DC100233,2024-06-04,22.95,Direct Debit,Cleared
PMT000405,DC100233,23/10/2024,90.65,Direct Debit,Cleared
PMT000406,DC100233,28/06/2025,169.21,Cheque,Cleared
PMT000407,DC100235,2025-10-10,38.9,Cheque,Cleared
PMT000408,DC100235,05/28/2024,28.82,DEBIT CARD,Pending
PMT000409,DC100235,01/10/2025,63.44,Card,Cleared
PMT000410,DC100235,31-01-2024,35.54,Bank Transfer,Cleared
PMT000411,DC100235,2024-02-07,91.86,Card,Cleared
PMT000412,DC100235,2025-08-31,347.82,Card,Cleared
PMT000413,DC100236,2026-07-30,120.88,Cash,Cleared
PMT000414,DC100237,2026-08-31,18.52,Direct Debit,Cleared
PMT000415,DC100237,2025-10-22,5.87,Bank Transfer,Cleared
PMT000416,DC100240,16-04-2026,87.02,Cash,Cleared
PMT000417,DC100240,2025-03-23,28.84,Debit Card,Cleared
PMT000418,DC100240,04/10/2025,19.38,Cash,Cleared
PMT000419,DC100241,28-08-2024,153.42,Debit Card,Cleared
PMT000420,DC100242,2025-06-17,307.79,Card,Cleared
PMT000421,DC100242,2026-06-27,14.73,debit card,Failed
PMT000422,DC100242,2025-08-28,20.1,Direct Debit,Cleared
PMT000423,DC100243,2026-01-26,32.94,Cash,Failed
PMT000424,DC100244,2026-06-15,49.15,Debit Card,Cleared
PMT000425,DC100244,16/11/2024,303.06,Bank Transfer,Pending
PMT000426,DC100245,2025-11-25,42.41,DEBIT CARD,Cleared
PMT000427,DC100245,2026-03-07,484.1,Cash,Cleared
PMT000428,DC100246,2026-05-09,24.96,Debit Card,Cleared
