comm_id,account_id,comm_date,channel,duration_minutes,outcome,conc_compliant_script_used,agent
COM000038,DC100021,14/01/2025,Outbound Call,16.8,No Answer,Y,Nathan L.
COM000039,DC100021,22-09-2024,Inbound Call,9.3,,Y,Mary S.
COM000040,DC100021,12/01/2024,SMS,,Requested Callback,Y,Sally R.
COM000041,DC100021,2024-05-18,SMS,,,Y,Elliott D.
COM000042,DC100021,2025-04-17,Email,,Wrong Number,Y,Olivia K.
COM000043,DC100021,2025-04-21,Inbound Call,0.6,Payment Arranged,Y,Leigh P.
COM000044,DC100021,2024-12-21,Outbound Call,11.7,Requested Callback,Y,Karl L.
COM000045,DC100021,06/07/2025,Letter,,Left Voicemail,Y,Keith B.
COM000046,DC100021,19/10/2024,outbound call,9.5,Call Dropped,Y,Janice D.
COM000047,DC100022,06/18/2025,Call,5.1,Left Voicemail,Y,Adam W.
COM000048,DC100022,05-02-2026,Outbound Call,3.4,No Answer,Y,Leslie T.
COM000049,DC100023,14/01/2025,Inbound Call,16.7,Left Voicemail,Y,Patrick T.
COM000050,DC100024,2026-03-13,SMS,,Complaint Raised,Y,Samuel S.
COM000051,DC100024,2025-03-27,Letter,,Customer Confirmed Vulnerability,Y,Neil W.
COM000052,DC100024,2025-02-18,outbound call,12.1,Payment Arranged,Y,Glen T.
COM000053,DC100025,2024-09-27,Outbound Call,18.9,Payment Arranged,Y,Dennis R.
COM000054,DC100025,2024-09-09,outbound call,19.2,,Y,Timothy M.
COM000055,DC100025,2025-06-05,SMS,,Requested Callback,N,Eleanor G.
COM000056,DC100025,2024-12-25,Email,,Disputed Debt,Y,Patrick F.
COM000057,DC100026,2026-03-18,Email,,Payment Arranged,Y,Dawn K.
COM000058,DC100026,2026-07-01,Inbound Call,5.9,Payment Arranged,Y,Ronald A.
COM000059,DC100027,17-04-2025,Call,9.8,Refused to Pay,Y,Shaun D.
COM000060,DC100027,2023-12-16,Email,,No Answer,Y,Abigail L.
COM000061,DC100028,01/03/2026,Call,17.1,Wrong Number,Y,Justin W.
COM000062,DC100028,2026-04-17,Call,13.7,Left Voicemail,Y,Gordon S.
COM000063,DC100030,2025-12-01,Letter,,Left Voicemail,Y,Marion K.
COM000064,DC100030,2026-03-18,Outbound Call,19.3,Requested Callback,Y,Abigail M.
COM000065,DC100031,2026-05-02,Email,,No Answer,Y,Jennifer B.
COM000066,DC100031,05/02/2026,Call,9.5,Wrong Number,Unknown,Rachel T.
COM000067,DC100031,2025-12-15,Email,,,Y,Dale G.
COM000068,DC100031,2025-12-17,SMS,,No Answer,Unknown,Sheila S.
COM000069,DC100032,28-08-2024,Call,2.6,Payment Arranged,Y,Katherine W.
COM000070,DC100032,19/04/2025,Email,,Call Dropped,N,Gail T.
COM000071,DC100032,2025-07-31,Letter,,Wrong Number,Y,Michelle D.
COM000072,DC100032,2024-04-21,Inbound Call,21.7,,Y,Bernard A.
COM000073,DC100033,2025-12-18,Inbound Call,12.1,Left Voicemail,Y,Daniel H.
COM000074,DC100033,30/03/2025,Call,3.7,No Answer,Y,Rita F.
COM000075,DC100033,15/02/2026,Call,10.2,Complaint Raised,Y,Heather R.
COM000076,DC100034,18/06/2026,Call,2.9,Payment Arranged,N,Terence P.
COM000077,DC100034,20-02-2026,Inbound Call,12.1,No Answer,Y,Beth L.
COM000078,DC100036,15/07/2025,Letter,,Left Voicemail,Y,Carol J.
COM000079,DC100036,15-08-2026,Outbound Call,12.5,Left Voicemail,Y,Sean T.
COM000080,DC100036,19/05/2026,Letter,,Refused to Pay,Y,Stephen O.
COM000081,DC100036,11/27/2025,SMS,,No Answer,Y,Paul P.
COM000082,DC100037,2025-08-05,outbound call,3.5,No Answer,Unknown,Katy G.
COM000083,DC100037,2025-08-02,outbound call,7.1,Disputed Debt,Y,Jeremy W.
COM000084,DC100037,2025-07-12,Call,16.6,Requested Callback,Y,Damien M.
COM000085,DC100038,11/03/2025,Email,,Refused to Pay,Y,Lisa D.
COM000086,DC100038,2025-05-07,Inbound Call,1.2,Payment Arranged,Y,Katy O.
COM000087,DC100038,2024-05-22,Inbound Call,4.1,No Answer,Y,Albert P.
COM000088,DC100038,2024-03-09,outbound call,12.3,,Y,Lucy C.
COM000089,DC100039,23-10-2025,Letter,,No Answer,Y,Carol P.
COM000090,DC100039,2026-01-01,SMS,,Refused to Pay,Unknown,Liam N.
COM000091,DC100039,2025-10-18,Inbound Call,9.4,Requested Callback,Y,Clive F.
COM000092,DC100039,2026-07-12,SMS,,Requested Callback,Y,Alexandra K.
COM000093,DC100040,10/09/2025,Call,9.8,No Answer,Y,Caroline M.
COM000094,DC100040,2026-07-18,Inbound Call,17.3,DSAR Request Logged,Unknown,Simon B.
COM000095,DC100041,2025-06-28,outbound call,1.7,Call Dropped,Y,Jill P.
COM000096,DC100041,02/10/2026,outbound call,17.1,Payment Arranged,Y,Sharon J.
COM000097,DC100041,2026-08-24,SMS,,,Y,Joanna B.
COM000098,DC100041,04/01/2026,Inbound Call,3.1,No Answer,Y,Janice T.
COM000099,DC100043,2024-09-23,Outbound Call,21.2,No Answer,Y,Ian B.
COM000100,DC100043,2024-12-15,Email,,No Answer,Y,Joshua W.
COM000101,DC100043,2024-05-22,Inbound Call,11.8,No Answer,Y,Hazel E.
COM000102,DC100043,2024-12-14,Inbound Call,19.2,Wrong Number,Y,Cheryl G.
COM000103,DC100044,29/03/2025,Call,7.3,No Answer,Y,June E.
COM000104,DC100044,2025-08-05,Outbound Call,3.0,Complaint Raised,N,Tony O.
COM000105,DC100044,14-06-2025,Email,,No Answer,Y,Iain B.
COM000106,DC100045,21-03-2025,Outbound Call,0.9,,Y,Lynda H.
COM000107,DC100045,04-02-2025,Call,5.3,Payment Arranged,Y,Kathryn L.
COM000108,DC100045,2025-02-18,Letter,,Customer Confirmed Vulnerability,Y,Harriet C.
COM000109,DC100046,2024-06-16,Outbound Call,14.5,Complaint Raised,Y,Denis P.
COM000110,DC100046,2024-11-02,Outbound Call,20.2,No Answer,Y,Janice B.
COM000111,DC100046,2024-03-12,Call,18.0,Wrong Number,Y,Alan B.
COM000112,DC100046,13/05/2024,Email,,No Answer,Y,Chloe G.
COM000113,DC100046,2024-02-06,outbound call,21.1,Wrong Number,Y,Antony S.
COM000114,DC100046,2024-07-15,outbound call,19.5,Wrong Number,Unknown,Paige A.
COM000115,DC100046,2024-12-24,Outbound Call,9.1,No Answer,Y,Janet J.
COM000116,DC100046,2024-02-26,Outbound Call,18.4,Payment Arranged,Unknown,Sheila H.
COM000117,DC100046,28/04/2025,Inbound Call,19.7,No Answer,Y,Sylvia B.
COM000118,DC100046,2024-11-29,Outbound Call,14.6,No Answer,Y,Amber P.
COM000119,DC100047,2026-06-22,Call,17.5,,Y,Martin R.
COM000120,DC100048,20/06/2024,SMS,,Left Voicemail,Y,Teresa A.
COM000121,DC100048,2024-07-28,Inbound Call,5.3,Left Voicemail,Y,Bethany H.
COM000122,DC100049,2026-04-15,Email,,Payment Arranged,Y,Jacqueline F.
COM000123,DC100049,2026-03-03,Call,15.6,Left Voicemail,Y,Sara A.
COM000124,DC100049,2025-07-23,Email,,No Answer,Y,Amanda L.
COM000125,DC100051,2025-08-16,Inbound Call,6.3,Customer Confirmed Vulnerability,Unknown,Callum N.
COM000126,DC100051,21-03-2024,Inbound Call,17.0,Refused to Pay,Y,Melissa C.
COM000127,DC100054,2025-08-27,Inbound Call,0.5,No Answer,Y,Elliott D.
COM000128,DC100055,28/09/2023,Email,,Requested Callback,Y,Carly S.
COM000129,DC100055,2025-01-31,Call,10.3,Payment Arranged,N,Kayleigh J.
COM000130,DC100055,2025-05-05,Inbound Call,19.9,Disputed Debt,Y,Laura B.
COM000131,DC100055,12-10-2023,SMS,,Disputed Debt,Y,Max Y.
COM000132,DC100055,16-02-2024,outbound call,11.6,Customer Confirmed Vulnerability,Unknown,Cheryl B.
COM000133,DC100055,05-12-2024,SMS,,Left Voicemail,N,Rebecca D.
COM000134,DC100055,04/14/2025,Call,11.2,Requested Callback,Y,Janet P.
COM000135,DC100056,2026-04-01,Call,12.4,,N,Joyce M.
COM000136,DC100056,2026-03-01,Email,,Requested Callback,Y,Ian H.
COM000137,DC100056,01/08/2026,Call,5.9,Payment Arranged,Y,Harry T.
COM000138,DC100056,06-11-2025,outbound call,20.6,Call Dropped,Y,Joanna N.
COM000139,DC100056,2025-09-15,Call,13.0,Payment Arranged,Unknown,Glenn D.
COM000140,DC100056,2025-09-02,Outbound Call,13.8,No Answer,Y,Max S.
COM000141,DC100058,2026-01-21,SMS,,No Answer,Y,Jenna N.
COM000142,DC100058,07/31/2025,Inbound Call,2.5,Disputed Debt,Y,Bradley I.
COM000143,DC100058,2026-06-15,Letter,,,Y,Molly H.
COM000144,DC100058,2026-05-01,Outbound Call,9.8,Payment Arranged,Y,Kim S.
COM000145,DC100058,2025-06-03,Email,,No Answer,Y,Aaron R.
COM000146,DC100058,2026-01-25,Outbound Call,8.3,No Answer,N,Beverley B.
COM000147,DC100058,08/06/2025,outbound call,4.5,Customer Confirmed Vulnerability,Y,Deborah B.
COM000148,DC100058,2025-05-22,Inbound Call,20.0,Left Voicemail,N,Ross T.
COM000149,DC100058,2026-03-31,SMS,,Payment Arranged,Y,Gordon K.
COM000150,DC100058,15/02/2026,Letter,,No Answer,Y,Marion M.
COM000151,DC100059,2025-01-11,Email,,No Answer,Y,Roger S.
COM000152,DC100060,02-01-2026,Outbound Call,21.1,Requested Callback,Y,Toby B.
COM000153,DC100062,2026-03-18,Call,18.6,No Answer,Y,Pamela W.
COM000154,DC100062,2026-07-22,Email,,Left Voicemail,Y,Glenn M.
COM000155,DC100062,2025-12-17,Letter,,Payment Arranged,Y,Beverley T.
COM000156,DC100062,2026-01-17,outbound call,19.5,DSAR Request Logged,Y,Joan M.
COM000157,DC100064,2026-05-07,Letter,,DSAR Request Logged,Y,Tina G.
COM000158,DC100064,2025-02-14,Letter,,Payment Arranged,Y,Lauren W.
COM000159,DC100064,2025-06-03,Inbound Call,19.0,Left Voicemail,Y,Leanne W.
COM000160,DC100064,01-10-2024,Inbound Call,20.4,No Answer,Y,Carolyn D.
COM000161,DC100064,2025-11-13,SMS,,Complaint Raised,Y,Claire P.
COM000162,DC100064,2025-01-23,Call,17.5,Complaint Raised,Y,Leah J.
COM000163,DC100064,29/03/2025,Letter,,Complaint Raised,Y,Marcus A.
COM000164,DC100065,14-07-2026,Email,,Left Voicemail,Y,Yvonne D.
COM000165,DC100065,2026-08-22,Inbound Call,11.8,Left Voicemail,Y,Kathryn P.
COM000166,DC100066,08/04/2026,Letter,,No Answer,Y,Gail H.
COM000167,DC100066,2025-06-26,outbound call,0.8,No Answer,Y,Elliot W.
COM000168,DC100066,2026-06-05,Outbound Call,21.5,Refused to Pay,N,Gordon P.
COM000169,DC100067,04/26/2026,Outbound Call,13.2,Complaint Raised,Y,Frances L.
COM000170,DC100067,2026-05-28,Inbound Call,17.7,Left Voicemail,Y,Melissa T.
COM000171,DC100068,23/06/2026,Call,14.1,Wrong Number,Y,Hayley A.
COM000172,DC100069,30/01/2025,Letter,,Call Dropped,Y,Joe B.
COM000173,DC100069,2024-09-14,outbound call,4.0,Disputed Debt,Y,Geraldine S.
COM000174,DC100070,2025-01-17,Email,,Requested Callback,N,Ian H.
COM000175,DC100070,2024-08-17,Letter,,Wrong Number,Y,Julie K.
COM000176,DC100071,2024-12-02,SMS,,No Answer,Y,Victor H.
COM000177,DC100071,15-11-2025,Email,,Left Voicemail,Y,Raymond M.
COM000178,DC100071,27/03/2026,Call,8.8,Left Voicemail,Y,Toby H.
COM000179,DC100071,28/10/2025,Outbound Call,17.9,,Y,Robin B.
COM000180,DC100072,2024-10-22,Inbound Call,4.5,Wrong Number,Y,Allan W.
COM000181,DC100072,2026-01-10,SMS,,Requested Callback,Y,Alice W.
COM000182,DC100072,11/30/2024,Outbound Call,2.1,No Answer,Y,Judith G.
COM000183,DC100074,2026-05-17,outbound call,9.9,No Answer,Y,Elliott T.
COM000184,DC100074,2025-03-16,Outbound Call,6.7,Requested Callback,N,Jasmine P.
COM000185,DC100077,28/03/2026,outbound call,3.1,Payment Arranged,Y,Raymond A.
COM000186,DC100077,2026-07-29,Call,19.2,,Unknown,Nicholas H.
COM000187,DC100077,2026-02-20,Outbound Call,17.2,Customer Confirmed Vulnerability,Y,Owen W.
COM000188,DC100078,2025-12-19,Inbound Call,16.1,Left Voicemail,N,Debra W.
COM000189,DC100079,2024-10-29,Inbound Call,1.5,Left Voicemail,Y,Marie B.
COM000190,DC100079,28-05-2025,Letter,,Requested Callback,Y,Chelsea H.
COM000191,DC100079,16-04-2025,Outbound Call,21.3,Left Voicemail,Y,Wayne R.
COM000192,DC100080,2023-12-07,Letter,,Wrong Number,Unknown,Rebecca C.
COM000193,DC100080,2024-02-07,SMS,,Payment Arranged,Y,Katherine H.
COM000194,DC100081,2026-09-11,Email,,No Answer,Y,Damien A.
COM000195,DC100081,24/04/2026,Call,5.2,Left Voicemail,Y,Ashley H.
COM000196,DC100081,09/06/2026,SMS,,Left Voicemail,Y,Nicole L.
COM000197,DC100082,2026-06-15,Call,16.4,No Answer,Unknown,Anne S.
COM000198,DC100083,11/07/2026,outbound call,17.2,Payment Arranged,Y,Carole L.
COM000199,DC100084,2026-05-06,outbound call,6.7,No Answer,Y,Barbara P.
COM000200,DC100085,2025-09-03,Letter,,Requested Callback,Y,Mohammed K.
COM000201,DC100086,23/02/2026,outbound call,11.0,No Answer,Y,Denise H.
COM000202,DC100086,2025-12-27,SMS,,Payment Arranged,Y,Aimee W.
COM000203,DC100087,2026-04-06,Outbound Call,2.4,,Y,Joan O.
COM000204,DC100087,2025-09-15,outbound call,11.3,Payment Arranged,Y,Julie R.
COM000205,DC100088,09/06/2024,Inbound Call,7.2,Left Voicemail,Y,Jayne B.
COM000206,DC100088,2025-10-21,outbound call,11.9,Wrong Number,Y,Stephanie C.
COM000207,DC100088,2024-09-24,Inbound Call,9.5,Refused to Pay,Y,Jayne W.
COM000208,DC100091,02/17/2025,Call,3.8,Left Voicemail,Y,Brett P.
COM000209,DC100092,2026-09-17,SMS,,Left Voicemail,Y,Thomas Y.
COM000210,DC100093,2025-01-09,Letter,,Left Voicemail,Unknown,Mohammad P.
COM000211,DC100094,2024-07-04,Email,,No Answer,Y,Eileen S.
COM000212,DC100094,31/08/2024,Call,7.8,Wrong Number,Y,Liam H.
COM000213,DC100094,2024-11-01,Inbound Call,18.1,,Y,Wayne G.
COM000214,DC100094,2024-07-27,outbound call,8.8,Refused to Pay,Y,Connor R.
COM000215,DC100095,2026-06-21,Call,19.6,No Answer,Y,Brian M.
COM000216,DC100095,2026-07-19,Call,21.7,No Answer,Y,Brandon C.
COM000217,DC100096,2025-03-25,SMS,,Disputed Debt,Y,Dennis P.
COM000218,DC100096,2025-05-18,Email,,Wrong Number,Y,Diane D.
COM000219,DC100097,2025-07-08,Email,,,Y,Oliver A.
COM000220,DC100097,11/10/2024,Letter,,DSAR Request Logged,Y,Glen B.
COM000221,DC100097,03-12-2024,Email,,Left Voicemail,Y,Judith R.
COM000222,DC100097,2025-04-05,Call,2.1,Left Voicemail,Y,Emma G.
COM000223,DC100097,12/11/2024,Email,,Disputed Debt,Y,Abigail C.
COM000224,DC100099,2026-06-30,SMS,,Payment Arranged,Y,Ross D.
COM000225,DC100099,2026-02-13,outbound call,21.2,Refused to Pay,Y,Kim P.
COM000226,DC100100,2026-05-10,Email,,Payment Arranged,Y,Iain G.
COM000227,DC100100,2026-04-14,Inbound Call,19.6,Requested Callback,Y,Kieran M.
COM000228,DC100101,2025-01-03,Outbound Call,18.4,No Answer,Y,Katherine R.
COM000229,DC100101,2024-07-14,Outbound Call,18.0,,Y,Geraldine T.
COM000230,DC100102,09-05-2026,Letter,,Call Dropped,Y,Rhys G.
COM000231,DC100102,21/10/2024,Inbound Call,9.3,Left Voicemail,Y,Brian C.
COM000232,DC100102,20/10/2024,Inbound Call,11.4,Complaint Raised,Unknown,Kyle G.
COM000233,DC100102,2025-08-25,Inbound Call,2.4,Left Voicemail,Y,Kenneth P.
COM000234,DC100102,2026-05-03,Outbound Call,8.6,Left Voicemail,Y,Karl L.
COM000235,DC100102,2026-04-07,Email,,Requested Callback,Y,Malcolm T.
COM000236,DC100102,03/02/2026,Outbound Call,18.7,DSAR Request Logged,Y,Gareth S.
COM000237,DC100102,2025-05-17,outbound call,3.2,No Answer,Y,Leah B.
COM000238,DC100102,2026-02-12,Call,6.8,Disputed Debt,Y,Stewart J.
COM000239,DC100102,2025-12-05,SMS,,Left Voicemail,Y,Darren P.
COM000240,DC100103,2024-05-03,outbound call,2.0,No Answer,N,George R.
COM000241,DC100103,2025-02-17,outbound call,0.6,Requested Callback,Y,Elizabeth S.
COM000242,DC100103,2024-09-08,SMS,,Left Voicemail,Y,Sam M.
COM000243,DC100104,16/02/2026,Outbound Call,9.2,No Answer,Y,Leigh J.
COM000244,DC100104,25/05/2026,Call,19.4,No Answer,N,Roger P.
COM000245,DC100104,2026-04-18,Inbound Call,10.0,,Y,Sophie J.
COM000246,DC100104,2025-10-17,SMS,,Payment Arranged,Y,Nicholas K.
COM000247,DC100104,2025-08-03,Letter,,No Answer,Y,Edward G.
COM000248,DC100104,2026-06-02,Call,10.2,Refused to Pay,Y,Bruce J.
COM000249,DC100104,2026-05-07,SMS,,Disputed Debt,Y,Danny S.
COM000250,DC100104,2026-01-31,Call,9.5,,Y,Linda M.
COM000251,DC100105,05/13/2025,Letter,,Wrong Number,Y,Barry L.
COM000252,DC100106,18-05-2026,Letter,,Wrong Number,Y,Ryan R.
COM000253,DC100106,2026-07-24,Letter,,Left Voicemail,Y,Marian G.
COM000254,DC100107,2026-02-27,Inbound Call,5.3,Disputed Debt,Y,Aimee C.
COM000255,DC100108,2025-03-22,Call,3.1,Requested Callback,Y,Sylvia N.
COM000256,DC100108,2026-02-04,Letter,,No Answer,Y,Timothy G.
COM000257,DC100109,2025-11-27,Outbound Call,15.3,Refused to Pay,Unknown,Justin E.
COM000258,DC100109,2025-07-08,outbound call,17.5,No Answer,Y,Trevor B.
COM000259,DC100109,25/03/2026,SMS,,Complaint Raised,Y,Clive C.
COM000260,DC100109,2025-06-08,Email,,No Answer,Y,Joyce S.
COM000261,DC100109,06/09/2026,Inbound Call,1.7,,Unknown,Angela G.
COM000262,DC100109,04/19/2026,Email,,DSAR Request Logged,Y,Charlie B.
COM000263,DC100111,2026-09-08,SMS,,No Answer,Y,Matthew R.
COM000264,DC100112,2025-11-05,outbound call,4.8,Wrong Number,Unknown,Melissa N.
COM000265,DC100112,2024-12-24,Call,10.8,Refused to Pay,Y,Jayne S.
COM000266,DC100112,2025-07-17,SMS,,Payment Arranged,Unknown,Victoria W.
COM000267,DC100113,04/08/2026,Call,7.7,Refused to Pay,N,Rachel R.
COM000268,DC100114,2026-01-09,Email,,Complaint Raised,Y,Fiona T.
COM000269,DC100114,2025-12-22,Inbound Call,8.8,Wrong Number,Y,Leon S.
COM000270,DC100116,2024-06-07,Letter,,Requested Callback,Y,Mohammed R.
COM000271,DC100116,18/08/2024,SMS,,No Answer,Y,Julie C.
COM000272,DC100118,2026-03-16,Letter,,No Answer,Y,Sheila M.
COM000273,DC100118,2026-09-17,SMS,,No Answer,Y,Suzanne S.
COM000274,DC100118,2026-03-31,SMS,,Payment Arranged,Y,Vincent F.
COM000275,DC100118,01/08/2025,Outbound Call,5.9,Refused to Pay,Y,Wendy W.
COM000276,DC100119,2025-03-23,Email,,Payment Arranged,Y,Valerie L.
COM000277,DC100119,2025-06-01,SMS,,Disputed Debt,Y,Lisa H.
COM000278,DC100119,2025-07-17,Letter,,,Y,Michael B.
COM000279,DC100120,20/10/2024,outbound call,12.5,Call Dropped,Y,Howard W.
COM000280,DC100120,29/10/2025,Email,,No Answer,Y,Dawn T.
COM000281,DC100120,2024-10-11,Inbound Call,15.0,Refused to Pay,Y,Connor G.
COM000282,DC100121,2025-12-05,Email,,,Y,Carole W.
COM000283,DC100121,13/05/2026,outbound call,17.1,Requested Callback,Y,Christian B.
COM000284,DC100121,2025-04-13,Call,17.2,,Y,Chloe R.
COM000285,DC100122,2025-02-11,outbound call,11.8,Requested Callback,N,Louis K.
COM000286,DC100122,2024-07-07,Call,5.0,Left Voicemail,Y,Jodie J.
COM000287,DC100123,27/08/2025,outbound call,3.3,Requested Callback,Y,Jean E.
COM000288,DC100123,2026-06-09,SMS,,No Answer,Y,Allan J.
COM000289,DC100123,2026-01-12,Letter,,Left Voicemail,Y,Toby K.
COM000290,DC100123,05/12/2026,SMS,,Payment Arranged,Y,Nicole H.
COM000291,DC100123,2025-12-22,Letter,,Customer Confirmed Vulnerability,Y,Maureen S.
COM000292,DC100123,24-07-2026,Email,,No Answer,Y,Kieran D.
COM000293,DC100123,2025-06-21,outbound call,11.9,No Answer,Y,Frances M.
COM000294,DC100124,2025-07-02,Outbound Call,17.5,Call Dropped,Y,Julie S.
COM000295,DC100124,2025-01-01,Inbound Call,7.4,Complaint Raised,Y,Alexander F.
COM000296,DC100124,2025-06-24,Email,,Refused to Pay,Y,Kyle T.
COM000297,DC100126,2026-07-21,Inbound Call,20.0,No Answer,Y,Wendy J.
COM000298,DC100128,25/07/2026,outbound call,10.8,Requested Callback,Y,Maureen H.
COM000299,DC100130,2025-11-14,Inbound Call,12.4,No Answer,Y,Lydia K.
COM000300,DC100130,07-02-2026,Email,,No Answer,Y,Geraldine S.
COM000301,DC100131,2026-09-08,Outbound Call,6.5,Requested Callback,Y,Susan G.
COM000302,DC100131,07/12/2026,Outbound Call,20.7,Customer Confirmed Vulnerability,N,Kim W.
COM000303,DC100131,2026-03-04,outbound call,18.3,Disputed Debt,Y,Benjamin R.
COM000304,DC100131,2026-09-14,outbound call,8.3,Call Dropped,Y,Simon H.
COM000305,DC100131,03/11/2025,Inbound Call,12.1,Requested Callback,Y,Ricky S.
COM000306,DC100132,2025-08-18,SMS,,Payment Arranged,N,Charlotte B.
COM000307,DC100132,11/05/2025,Letter,,No Answer,N,Marion D.
COM000308,DC100132,23/09/2024,SMS,,Wrong Number,Unknown,Marion P.
COM000309,DC100132,2025-05-11,Call,18.2,Customer Confirmed Vulnerability,Y,Kelly C.
COM000310,DC100133,2026-07-05,Call,14.9,,Y,Ben W.
COM000311,DC100133,2026-03-01,Email,,Wrong Number,Y,Alexandra S.
COM000312,DC100134,2026-06-15,Inbound Call,6.0,Requested Callback,Y,Daniel M.
COM000313,DC100134,2026-07-01,Letter,,DSAR Request Logged,Y,Carly M.
COM000314,DC100134,21/08/2026,outbound call,16.8,Payment Arranged,Y,Kate M.
COM000315,DC100134,20/06/2026,Inbound Call,13.8,No Answer,Y,Cheryl J.
COM000316,DC100135,2025-07-31,Call,5.2,Refused to Pay,Y,Lesley W.
COM000317,DC100136,2026-08-02,SMS,,Left Voicemail,Y,Denise O.
COM000318,DC100136,2026-08-11,Letter,,No Answer,Y,Molly W.
COM000319,DC100138,2025-12-28,Outbound Call,20.6,Refused to Pay,Y,Pauline B.
COM000320,DC100138,2026-01-30,Outbound Call,7.9,DSAR Request Logged,Y,Joyce W.
COM000321,DC100138,04/07/2025,Inbound Call,14.1,Requested Callback,Y,Colin J.
COM000322,DC100138,2025-12-03,outbound call,19.4,Customer Confirmed Vulnerability,N,Geoffrey D.
COM000323,DC100138,04-06-2026,Call,15.7,Wrong Number,Y,Anthony P.
COM000324,DC100138,22/06/2026,Call,11.4,No Answer,Y,Derek C.
COM000325,DC100138,2026-05-15,outbound call,12.2,Call Dropped,Unknown,Charles H.
COM000326,DC100138,2026-01-16,Letter,,Payment Arranged,Y,Joyce B.
COM000327,DC100138,08/08/2025,Outbound Call,8.0,Refused to Pay,Y,Kelly C.
COM000328,DC100140,2024-08-25,Call,20.7,DSAR Request Logged,Y,Geoffrey B.
COM000329,DC100140,29-01-2025,Email,,No Answer,Y,Ellie A.
COM000330,DC100141,2025-07-02,Inbound Call,18.9,No Answer,Y,Sophie W.
COM000331,DC100141,23/01/2025,outbound call,18.9,Customer Confirmed Vulnerability,Y,Jeremy T.
COM000332,DC100141,06-02-2024,Call,6.8,Left Voicemail,Y,Marian A.
COM000333,DC100142,29-01-2026,outbound call,19.8,Left Voicemail,Y,Glenn A.
COM000334,DC100142,2026-07-09,Call,10.1,Customer Confirmed Vulnerability,Y,Debra C.
COM000335,DC100144,21-05-2024,outbound call,10.9,No Answer,Y,Brenda M.
COM000336,DC100144,2024-08-26,Outbound Call,17.6,Payment Arranged,Y,Allan S.
COM000337,DC100144,2025-08-05,SMS,,No Answer,Y,Alexandra L.
